role,permission,description
super_admin,access_admin,Admin paneline erişim
super_admin,dashboard.view,Dashboard görüntüleme
super_admin,personel.view,Personel listeleme
super_admin,personel.create,Yeni personel oluşturma
super_admin,personel.update,Personel güncelleme
super_admin,personel.delete,Personel silme
super_admin,personel.export,Personel dışa aktarma
super_admin,personel.import,Personel içe aktarma
super_admin,personel.manage,Personel tam yönetim
super_admin,leave.view,İzin listeleme
super_admin,leave.request,İzin talebi oluşturma
super_admin,leave.approve,İzin onaylama
super_admin,leave.cancel,İzin iptal etme
super_admin,leave.manage,İzin tam yönetim
super_admin,attendance.view,Puantaj görüntüleme
super_admin,attendance.create,Puantaj kaydı oluşturma
super_admin,attendance.correct,Puantaj düzeltme
super_admin,attendance.approve,Mesai onaylama
super_admin,attendance.export,Puantaj dışa aktarma
super_admin,shift.view,Vardiya görüntüleme
super_admin,shift.create,Vardiya oluşturma
super_admin,shift.assign,Vardiya atama
super_admin,shift.manage,Vardiya tam yönetim
super_admin,company.view,Şirket görüntüleme
super_admin,company.manage,Şirket tam yönetim
super_admin,department.view,Departman görüntüleme
super_admin,department.create,Departman oluşturma
super_admin,department.update,Departman güncelleme
super_admin,department.delete,Departman silme
super_admin,position.view,Pozisyon görüntüleme
super_admin,position.create,Pozisyon oluşturma
super_admin,position.update,Pozisyon güncelleme
super_admin,position.delete,Pozisyon silme
super_admin,asset.view,Envanter görüntüleme
super_admin,asset.create,Envanter oluşturma
super_admin,asset.update,Envanter güncelleme
super_admin,asset.delete,Envanter silme
super_admin,asset.assign,Zimmet atama
super_admin,asset.manage,Envanter tam yönetim
super_admin,advance.view,Avans görüntüleme
super_admin,advance.request,Avans talebi
super_admin,advance.approve,Avans onaylama
super_admin,advance.manage,Avans tam yönetim
super_admin,expense.view,Masraf görüntüleme
super_admin,expense.request,Masraf talebi
super_admin,expense.approve,Masraf onaylama
super_admin,expense.manage,Masraf tam yönetim
super_admin,travel.view,Seyahat görüntüleme
super_admin,travel.request,Seyahat talebi
super_admin,travel.approve,Seyahat onaylama
super_admin,travel.manage,Seyahat tam yönetim
super_admin,vehicle.view,Araç görüntüleme
super_admin,vehicle.request,Araç rezervasyonu
super_admin,vehicle.manage,Araç tam yönetim
super_admin,visitor.view,Ziyaretçi görüntüleme
super_admin,visitor.create,Ziyaretçi kaydı
super_admin,visitor.manage,Ziyaretçi tam yönetim
super_admin,report.view,Rapor görüntüleme
super_admin,report.create,Rapor oluşturma
super_admin,report.export,Rapor dışa aktarma
super_admin,subscription.view,Abonelik görüntüleme
